"","coefficients.Response","coefficients.Predictor","coefficients.Estimate","coefficients.Std.Error","coefficients.DF","coefficients.Crit.Value","coefficients.P.Value","coefficients.Std.Estimate","coefficients."
"1","hsd17b4","Pr",0.5166,0.2163,10,2.3881,0.0381,0.5166,"*"
"2","hsd17b4","T",-0.7358,0.2163,10,-3.4012,0.0068,-0.7358,"**"
"3","hsd11b2","hsd17b4",0.1272,0.3259,9,0.3903,0.7054,0.1272,""
"4","hsd11b2","T",0.2195,0.327,9,0.6714,0.5188,0.2195,""
"5","hsd11b2","X11KT",-0.6073,0.2671,9,-2.2741,0.049,-0.6073,"*"
"6","arb","T",1.1294,0.2561,7,4.4106,0.0031,1.1294,"**"
"7","arb","hsd11b2",-0.153,0.2043,7,-0.7488,0.4784,-0.153,""
"8","arb","X11KT",-0.4031,0.2048,7,-1.9685,0.0897,-0.4031,""
"9","arb","Pr",-0.5512,0.2137,7,-2.5788,0.0365,-0.5512,"*"
"10","arb","hsd17b4",0.3343,0.2511,7,1.3312,0.2248,0.3343,""
"11","ara","T",0.7372,0.2902,8,2.5406,0.0347,0.7372,"*"
"12","ara","hsd11b2",-0.4693,0.2887,8,-1.6258,0.1427,-0.4693,""
"13","ara","X11KT",-0.4204,0.2902,8,-1.4485,0.1855,-0.4204,""
"14","ara","hsd17b4",0.0126,0.2846,8,0.0444,0.9657,0.0126,""
"15","cyp19a1b","T",-0.2033,0.2584,9,-0.7867,0.4517,-0.2033,""
"16","cyp19a1b","hsd17b4",-0.2862,0.2164,9,-1.3224,0.2186,-0.2862,""
"17","cyp19a1b","ara",0.8275,0.2322,9,3.5631,0.0061,0.8275,"**"
"18","esr1","E2",0.6376,0.1905,10,3.3474,0.0074,0.6376,"**"
"19","esr1","cyp19a1b",0.3332,0.1905,10,1.7492,0.1108,0.3332,""
"20","esr2a","cyp19a1b",0.388,0.2444,10,1.5878,0.1434,0.388,""
"21","esr2a","E2",0.4642,0.2444,10,1.8996,0.0867,0.4642,""
"22","esr2b","cyp19a1b",0.8425,0.1171,10,7.1922,0,0.8425,"***"
"23","esr2b","E2",0.1867,0.1171,10,1.5938,0.1421,0.1867,""
"24","outs","ara",-0.4113,0.1476,7,-2.7866,0.027,-0.8951,"*"
"25","outs","arb",0.3546,0.1775,7,1.9973,0.086,0.7718,""
"26","outs","esr1",-0.0385,0.202,7,-0.1904,0.8544,-0.0837,""
"27","outs","esr2a",-0.1349,0.1438,7,-0.938,0.3795,-0.2936,""
"28","outs","esr2b",0.3873,0.1656,7,2.338,0.052,0.843,""
