"","coefficients.Response","coefficients.Predictor","coefficients.Estimate","coefficients.Std.Error","coefficients.DF","coefficients.Crit.Value","coefficients.P.Value","coefficients.Std.Estimate","coefficients."
"1","hsd17b4","Pr",-0.7537,0.1981,11,-3.8038,0.0029,"-0.7537","**"
"2","hsd11b2","hsd17b4",-0.2637,0.3321,10,-0.7942,0.4455,"-0.2637",""
"3","hsd11b2","T",-0.554,0.3321,10,-1.6682,0.1262,"-0.554",""
"4","srd5a1","hsd17b4",0.5359,0.3144,10,1.7042,0.1192,"0.5359",""
"5","srd5a1","T",0.5992,0.3144,10,1.9055,0.0858,"0.5992",""
"6","arb","T",0.4793,0.2865,7,1.6733,0.1382,"0.4793",""
"7","arb","hsd11b2",0.4591,0.2257,7,2.0346,0.0814,"0.4591",""
"8","arb","X11KT",0.3437,0.2153,7,1.5965,0.1544,"0.3437",""
"9","arb","srd5a1",0.1801,0.2423,7,0.7435,0.4814,"0.1801",""
"10","arb","hsd17b4",0.9386,0.2802,7,3.3498,0.0123,"0.9386","*"
"11","ara","T",0.2827,0.4618,7,0.6121,0.5598,"0.2827",""
"12","ara","hsd11b2",0.4787,0.3638,7,1.3159,0.2297,"0.4787",""
"13","ara","X11KT",0.1155,0.3471,7,0.3329,0.749,"0.1155",""
"14","ara","srd5a1",-0.0615,0.3906,7,-0.1575,0.8793,"-0.0615",""
"15","ara","hsd17b4",0.5267,0.4517,7,1.166,0.2818,"0.5267",""
"16","cyp19a1b","T",0.2844,0.2382,9,1.1941,0.263,"0.2844",""
"17","cyp19a1b","hsd17b4",-0.1233,0.3196,9,-0.3859,0.7085,"-0.1233",""
"18","cyp19a1b","Pr",-0.9758,0.305,9,-3.1991,0.0108,"-0.9758","*"
"19","esr1","E2",-0.3124,0.1236,8,-2.5274,0.0354,"-0.3124","*"
"20","esr1","cyp19a1b",1.3726,0.171,8,8.0274,0,"1.3726","***"
"21","esr1","hsd17b4",0.8327,0.1581,8,5.2653,8e-04,"0.8327","***"
"22","esr1","Pr",1.4151,0.2145,8,6.596,2e-04,"1.4151","***"
"23","esr2a","cyp19a1b",1.2424,0.1808,9,6.8704,1e-04,"1.2424","***"
"24","esr2a","E2",-0.6206,0.1261,9,-4.9203,8e-04,"-0.6206","***"
"25","esr2a","Pr",0.5101,0.1896,9,2.6908,0.0248,"0.5101","*"
"26","esr2b","cyp19a1b",1.1805,0.2348,8,5.0286,0.001,"1.1805","**"
"27","esr2b","E2",-0.1915,0.1697,8,-1.1287,0.2917,"-0.1915",""
"28","esr2b","hsd17b4",0.5448,0.2171,8,2.509,0.0364,"0.5448","*"
"29","esr2b","Pr",0.7879,0.2946,8,2.6749,0.0281,"0.7879","*"
"30","App","ara",1.0362,0.3785,2,2.7376,0.0062,"-","**"
"31","App","arb",1.2279,0.6005,2,2.0449,0.0409,"-","*"
"32","App","esr1",-0.7944,0.4871,2,-1.6306,0.103,"-",""
"33","App","esr2a",0.0732,0.4536,2,0.1615,0.8717,"-",""
"34","App","esr2b",-1.1265,0.5766,2,-1.9535,0.0508,"-",""
"35","App","srd5a1",0.6734,0.2465,2,2.7325,0.0063,"-","**"
"36","App","hsd17b4",0.4773,0.341,2,1.3999,0.1615,"-",""
"37","App","E2",0.6106,0.3949,2,1.546,0.1221,"-",""
"38","App","T",-0.8123,0.4514,2,-1.7998,0.0719,"-",""
"39","App","Pr",0.6541,0.4057,2,1.6121,0.1069,"-",""
